,X1,X,long,lat,group,order,region,subregion,State,GeoRegion
14241,14241,14241,-122.4410858,48.08261871,59,14299,washington,NA,WA,Pacific
14242,14242,14242,-122.4009781,48.05397034,59,14300,washington,NA,WA,Pacific
14243,14243,14243,-122.3379517,48.01386261,59,14301,washington,NA,WA,Pacific
14244,14244,14244,-122.3093033,47.98521423,59,14302,washington,NA,WA,Pacific
14245,14245,14245,-122.3207626,47.94510651,59,14303,washington,NA,WA,Pacific
14246,14246,14246,-122.3207626,47.92791748,59,14304,washington,NA,WA,Pacific
14247,14247,14247,-122.349411,47.89927292,59,14305,washington,NA,WA,Pacific
14248,14248,14248,-122.3952408,47.91646194,59,14306,washington,NA,WA,Pacific
14249,14249,14249,-122.4009781,47.95656967,59,14307,washington,NA,WA,Pacific
14250,14250,14250,-122.4124298,47.97948837,59,14308,washington,NA,WA,Pacific
14251,14251,14251,-122.4525452,47.97948837,59,14309,washington,NA,WA,Pacific
14252,14252,14252,-122.4811935,47.96229935,59,14310,washington,NA,WA,Pacific
14253,14253,14253,-122.5041046,47.97948837,59,14311,washington,NA,WA,Pacific
14254,14254,14254,-122.4983749,47.99667358,59,14312,washington,NA,WA,Pacific
14255,14255,14255,-122.5384827,48.01386261,59,14313,washington,NA,WA,Pacific
14256,14256,14256,-122.561409,48.04824066,59,14314,washington,NA,WA,Pacific
14257,14257,14257,-122.567131,48.11126328,59,14315,washington,NA,WA,Pacific
14258,14258,14258,-122.5728683,48.151371,59,14316,washington,NA,WA,Pacific
14259,14259,14259,-122.6301575,48.14564514,59,14317,washington,NA,WA,Pacific
14260,14260,14260,-122.6702652,48.1742897,59,14318,washington,NA,WA,Pacific
14261,14261,14261,-116.9292297,45.99705124,60,14320,washington,NA,WA,Pacific
14262,14262,14262,-117.4735336,46.00851059,60,14321,washington,NA,WA,Pacific
14263,14263,14263,-117.6167755,46.00851059,60,14322,washington,NA,WA,Pacific
14264,14264,14264,-117.9834747,45.99705124,60,14323,washington,NA,WA,Pacific
14265,14265,14265,-117.9949341,46.00851059,60,14324,washington,NA,WA,Pacific
14266,14266,14266,-118.9574966,45.99705124,60,14325,washington,NA,WA,Pacific
14267,14267,14267,-119.0033264,45.99132156,60,14326,washington,NA,WA,Pacific
14268,14268,14268,-119.0663605,45.962677,60,14327,washington,NA,WA,Pacific
14269,14269,14269,-119.1752167,45.92256927,60,14328,washington,NA,WA,Pacific
14270,14270,14270,-119.2497101,45.92829514,60,14329,washington,NA,WA,Pacific
14271,14271,14271,-119.3184586,45.93402481,60,14330,washington,NA,WA,Pacific
14272,14272,14272,-119.3872147,45.9168396,60,14331,washington,NA,WA,Pacific
14273,14273,14273,-119.4273224,45.91110611,60,14332,washington,NA,WA,Pacific
14274,14274,14274,-119.4960709,45.89965057,60,14333,washington,NA,WA,Pacific
14275,14275,14275,-119.5476379,45.9168396,60,14334,washington,NA,WA,Pacific
14276,14276,14276,-119.593483,45.9168396,60,14335,washington,NA,WA,Pacific
14277,14277,14277,-119.6507721,45.87673187,60,14336,washington,NA,WA,Pacific
14278,14278,14278,-119.6966095,45.85381317,60,14337,washington,NA,WA,Pacific
14279,14279,14279,-119.8341217,45.83662415,60,14338,washington,NA,WA,Pacific
14280,14280,14280,-119.8684921,45.83662415,60,14339,washington,NA,WA,Pacific
14281,14281,14281,-120.006012,45.80224609,60,14340,washington,NA,WA,Pacific
14282,14282,14282,-120.0633087,45.79078674,60,14341,washington,NA,WA,Pacific
14283,14283,14283,-120.1435165,45.77359772,60,14342,washington,NA,WA,Pacific
14284,14284,14284,-120.2122726,45.73348999,60,14343,washington,NA,WA,Pacific
14285,14285,14285,-120.4471893,45.68765259,60,14344,washington,NA,WA,Pacific
14286,14286,14286,-120.5102158,45.70484161,60,14345,washington,NA,WA,Pacific
14287,14287,14287,-120.5560455,45.72776031,60,14346,washington,NA,WA,Pacific
14288,14288,14288,-120.6076202,45.73922348,60,14347,washington,NA,WA,Pacific
14289,14289,14289,-120.65345,45.72776031,60,14348,washington,NA,WA,Pacific
14290,14290,14290,-120.9055481,45.64181519,60,14349,washington,NA,WA,Pacific
14291,14291,14291,-120.9628525,45.64181519,60,14350,washington,NA,WA,Pacific
14292,14292,14292,-121.0545197,45.64754868,60,14351,washington,NA,WA,Pacific
14293,14293,14293,-121.1290054,45.60744095,60,14352,washington,NA,WA,Pacific
14294,14294,14294,-121.1633911,45.60171127,60,14353,washington,NA,WA,Pacific
14295,14295,14295,-121.2092209,45.64754868,60,14354,washington,NA,WA,Pacific
14296,14296,14296,-121.26651,45.67046738,60,14355,washington,NA,WA,Pacific
14297,14297,14297,-121.3238144,45.68765259,60,14356,washington,NA,WA,Pacific
14298,14298,14298,-121.3696442,45.69338608,60,14357,washington,NA,WA,Pacific
14299,14299,14299,-121.4269409,45.69338608,60,14358,washington,NA,WA,Pacific
14300,14300,14300,-121.524353,45.70484161,60,14359,washington,NA,WA,Pacific
14301,14301,14301,-121.5701828,45.70484161,60,14360,washington,NA,WA,Pacific
14302,14302,14302,-121.673317,45.69338608,60,14361,washington,NA,WA,Pacific
14303,14303,14303,-121.7764511,45.69338608,60,14362,washington,NA,WA,Pacific
14304,14304,14304,-121.8394699,45.69338608,60,14363,washington,NA,WA,Pacific
14305,14305,14305,-121.8967743,45.67046738,60,14364,washington,NA,WA,Pacific
14306,14306,14306,-121.9311447,45.64181519,60,14365,washington,NA,WA,Pacific
14307,14307,14307,-122.2577362,45.54441452,60,14366,washington,NA,WA,Pacific
14308,14308,14308,-122.3207626,45.53295898,60,14367,washington,NA,WA,Pacific
14309,14309,14309,-122.3780594,45.55587387,60,14368,washington,NA,WA,Pacific
14310,14310,14310,-122.4811935,45.5730629,60,14369,washington,NA,WA,Pacific
14311,14311,14311,-122.6301575,45.59025192,60,14370,washington,NA,WA,Pacific
14312,14312,14312,-122.7275543,45.61317062,60,14371,washington,NA,WA,Pacific
14313,14313,14313,-122.76194,45.64181519,60,14372,washington,NA,WA,Pacific
14314,14314,14314,-122.779129,45.68192291,60,14373,washington,NA,WA,Pacific
14315,14315,14315,-122.779129,45.70484161,60,14374,washington,NA,WA,Pacific
